Бренд Barbour (Барбур) | Clothing Encyclopedia;Barbour Brand (Barbour) | Clothing Encyclopedia
Поиск;Søg
Главная;Hjem
Бренд Barbour (Барбур);Barbour Brand (Barbour)
Создание;Oprettelse
1894 г.;1894
Основатель;Grundlægger
Джон Барбур (John Barbour);John Barbour (John Barbour)
Разработка;Udvikling
Англия;England
Страна производитель;Fremstillingsland
Главный офис;Hovedkontor
Саут Шилдс, Англия;South Shields, England
Сайт;Website
Barbour - английский бренд одежды, известный своей практичной и стильной верхней одеждой, особенно куртками из вощеного хлопка. Компания была основана Джоном Барбуром в 1894 году и с тех пор превратилась в знаковый бренд, символизирующий английский стиль одежды.;Barbour - et engelsk tøjmærke, kendt for sin praktiske og stilfulde overtøj, især voksede bomuldsjakker. Firmaet blev grundlagt af John Barbour i 1894 og er siden blevet et ikonisk mærke, der symboliserer engelsk tøjstil.
Кроме традиционных вощеных курток, Barbour также производит кожаные изделия, обувь и аксессуары для мужчин, женщин детей и собак. Это дает возможность выбрать практически любой элемент гардероба, будь то свитер, рубашка, брюки, обувь или сумка, сохраняя при этом дух и эстетику бренда Barbour.;Udover traditionelle voksede jakker producerer Barbour også lædervarer, fodtøj og tilbehør til mænd, kvinder, børn og hunde. Dette giver mulighed for at vælge næsten ethvert garderobeelement, hvad enten det er en sweater, skjorte, bukser, sko eller taske, samtidig med at man bevarer Barbour-mærkets ånd og æstetik.
Важно отметить, что Barbour придерживается высоких стандартов качества в процессе производства своей продукции. Большинство курток Barbour продолжают быть сделанными вручную на фабрике в Саут Шилдс, Англия.;Det er vigtigt at bemærke, at Barbour opretholder høje kvalitetsstandarder i sin produktionsproces. De fleste Barbour jakker fortsætter med at blive håndlavet på fabrikken i South Shields, England.
Содержание;Indhold
Популярная культура;Populær kultur
История;Historie
Технологии производства;Produktions teknologi
Инициативы;Initiativer
Одежда Barbour;Barbour tøj
Barbour в популярной культуре;Barbour i populærkulturen
Алекс Тёрнер (Arctic Monkeys) в куртке Barbour Bedale;Alex Turner (Arctic Monkeys) i en Barbour Bedale jakke
Стив Маккуин в куртке Barbour International;Steve McQueen i en Barbour International jakke
Дэниел Крейг в роли Джеймс Бонда в куртке Barbour;Daniel Craig i rollen som James Bond i en Barbour jakke
"Вощеная куртка Barbour появилась в фильме о Джеймсе Бонде ""Скайфолл"" 2012 года, где герой Джеймса Бонда, которого играл Дэниел Крейг, носил сшитую на заказ куртку бренда Barbour. Кроме того, у Barbour есть известная линия одежды, вдохновленная актером и страстным мотогонщиком Стивом Маккуином, который был известен тем, что во время своих заездов надевал куртку Barbour.";"En voksbehandlet Barbour jakke optrådte i James Bond-filmen ""Skyfall"" fra 2012, hvor James Bonds karakter, spillet af Daniel Craig, bar en skræddersyet Barbour jakke. Derudover har Barbour en berømt tøjlinje inspireret af skuespilleren og passioneret motorcykelkører Steve McQueen, der var kendt for at bære en Barbour jakke under sine løb."
Куртка Barbour стала неофициальной фирменной одеждой музыкального фестиваля Гластонбери (Glastonbury) в связи с переменчивой погодой. Алекса Чанг была не однократно замечена в куртке Barbour Bedale. Солист Arctic Monkeys Алекс Тернер, выступал на сцене фестиваля в куртке Bedale, в 2007 году.;Barbour jakken er blevet den uofficielle signatur beklædning for Glastonbury musikfestivalen på grund af det skiftende vejr. Alexa Chung er blevet set flere gange i en Barbour Bedale jakke. Arctic Monkeys frontmand Alex Turner optrådte på festivalens scene i en Bedale jakke i 2007.
История бренда Barbour;Barbour brand historie
Бренд Barbour был основан Джоном Барбуром в 1894 году в Саут Шилдс, Северо-Восточная Англия. Изначально компания, специализировалась на импорте масла для обработки ткани. Затем Джон Барбур начал производство водонепроницаемой одежды для местного населения, включая рыбаков, моряков и работников порта.;Barbour mærket blev grundlagt af John Barbour i 1894 i South Shields, North East England. Oprindeligt specialiserede virksomheden sig i import af olie til tekstilbehandling. Derefter begyndte John Barbour at producere vandtæt tøj til det lokale samfund, herunder fiskere, søfolk og havnearbejdere.
Компания Barbour привлекла внимание британских военных во время обоих мировых войн, получив контракты на поставку одежды для военных. Верхняя одежда Barbour стала известной благодаря своим водонепроницаемым и не продуваемым свойством, что было важно для солдат, работающих в суровых погодных условиях.;Barbour-firmaet tiltrak opmærksomhed fra de britiske militære under begge verdenskrige og fik kontrakter til at levere tøj til militæret. Barbour overtøj blev kendt for sine vandtætte og vindtætte egenskaber, hvilket var vigtigt for soldater, der arbejdede i barske vejrforhold.
Капитан подводной лодки времен Второй мировой войны Джордж Филлипс, в куртке и брюках Ursula от Barbour;En ubådskaptajn fra Anden Verdenskrig, George Phillips, i en Ursula jakke og bukser fra Barbour
Моряк подводной лодки HMS Ursula в одежде Barbour;En sømand fra ubåden HMS Ursula i Barbour tøj
Каталог одежды Barbour 1953 года;Barbour tøjkatalog fra 1953
В 1980-х годах Barbour впервые получил признание в мире моды. Бренд стал популярен в аристократической среде и начал связывать себя с традиционной английской одеждой на открытом воздухе. Это привлекло внимание королевской семьи, и в 1974 году Барбур получил первую из трех Королевских Грамот, признавая качество продукции.;I 1980'erne modtog Barbour første gang anerkendelse i modeverdenen. Mærket blev populært i aristokratiske kredse og begyndte at forbinde sig med traditionel engelsk udendørs tøj. Dette tiltrak opmærksomhed fra den kongelige familie, og i 1974 modtog Barbour den første af tre Royal Warrants, anerkendende produktkvaliteten.
С тех пор компания продолжает развиваться и расширять свои коллекции. Сегодня фирма Barbour продолжает быть семейным бизнесом, управляемым пятым поколением семьи Барбур. Продукция бренда Barbour продается в более чем 40 странах по всему миру.;Siden da fortsætter firmaet med at udvikle sig og udvide sine kollektioner. I dag forbliver Barbour-firmaet et familieejet forretning, drevet af den femte generation af Barbour-familien. Barbour-mærkevarer sælges i mere end 40 lande verden over.
Компания сохраняет свое уважение к традициям и истории, уделяя большое внимание деталям и качеству своей продукции. Barbour по-прежнему изготавливает свои знаменитые восковые куртки вручную на фабрике в Саут Шилдсе.;Virksomheden bevarer sin respekt for traditioner og historie, med stor opmærksomhed på detaljer og kvalitet af sine produkter. Barbour fortsætter med at håndlave sine berømte voksede jakker på fabrikken i South Shields.
Технологии производства одежды Barbour;Barbour tøjproduktionsteknologi
Вощеный хлопок (Waxed cotton);Vokset bomuld (Waxed cotton)
Вощеный хлопок - это ткань, в процессе создания которой нити на стадии ткацкого производства пропитываются парафином. Завершенное изделие из такого хлопка обрабатывают воском, придавая ему уникальную, приятную на ощупь текстуру. Вощеный хлопок устойчив к проникновению влаги в дождливую погоду и способен защитить от ветра, но он не может быть постиран в стиральной машине. В случае стирки, верхний защитный слой воска (который можно возобновить с помощью подогретого воска, губки и фена) может быть смыт. Вместе с верхним защитным слоем, уйдет и слой воска пропитывающий нити и ткани, восстановить который уже невозможно.;Vokset bomuld er et stof, hvor garnet i vævningstrinnet imprægneres med paraffin. Det færdige produkt fra et sådant bomuld behandles med voks, hvilket giver det en unik, behagelig at røre ved tekstur. Vokset bomuld er modstandsdygtig over for fugtindtrængning i regnvejr og kan beskytte mod vind, men det kan ikke vaskes i vaskemaskinen. I tilfælde af vask kan det øverste beskyttende voks lag (som kan fornyes med opvarmet voks, en svamp og en hårtørrer) blive vasket væk. Sammen med det øverste beskyttende lag vil voks laget, der imprægnerer trådene og stoffet, også gå tabt, hvilket ikke kan genoprettes.
Процесс вощения куртки Barbour;Barbour jakke voksning proces
Коллекция Barbour x Land Rover;Barbour x Land Rover kollektion
Barbour присоединился к инициативе Better Cotton - это некоммерческая многосторонняя группа управления, которая продвигает лучшие стандарты и методы выращивания хлопка в 21 стране.;Barbour har tilsluttet sig Better Cotton-initiativet - en nonprofit, multilateral styringsgruppe, der fremmer bedste standarder og metoder til dyrkning af bomuld i 21 lande.
Алекса Чанг в куртке Barbour;Alexa Chung i en Barbour jakke
Принцесса Диана в куртке Barbour;Prinsesse Diana i en Barbour jakke
Водонепроницаемая ткань;Vandtæt stof
Более 70% водонепроницаемых тканей бренда Barbour производятся на фабриках, одобренных bluesign®. Система bluesign® гарантирует, что ткань изготовлена экологически безопасным способом без использования вредных веществ.;Over 70% af Barbour-mærkets vandtætte stoffer produceres på fabrikker, der er godkendt af bluesign®. bluesign®-systemet garanterer, at stoffet er fremstillet på en miljøvenlig måde uden brug af skadelige stoffer.
Вторичные материалы;Genbrugte materialer
Barbour все активнее применяет материалы из переработанных отходов в своем ассортименте, включая верхнюю одежду. В состав таких изделий входит вата, созданная из переработанных отходов, образовавшихся как до, так и после использования товаров.;Barbour anvender i stigende grad materialer fremstillet af genanvendt affald i sit sortiment, herunder overtøj. Sådanne produkter indeholder vatteret materiale fremstillet af genanvendt affald, der opstår både før og efter brug af varerne.
Вощеная куртка Barbour Bedale;Barbour Bedale voksede jakke
"Появившаяся в 1980 году куртка Bedale является результатом страсти Barbour к конному спорту. Barbour Bedale представляет собой легкую, короткую куртку, которая обеспечивает адаптивность и функциональность. Куртка Bedale разработана с учетом потребностей верховой езды. Куртка имеет короткую длину, расслабленный крой, задние вентиляционные отверстия, а также нейлоновую внутреннюю ""капельную полосу"" для защиты от проникновения влаги.";"Den i 1980 introducerede Bedale jakke er resultatet af Barbours passion for hestesport. Barbour Bedale er en let, kort jakke, der giver tilpasningsevne og funktionalitet. Bedale jakken er designet med hensyntagen til behovene ved ridning. Jakken har en kort længde, afslappet pasform, bageste ventilationsåbninger samt en nylon indvendig ""drip strip"" for beskyttelse mod fugtindtrængning."
Куртка Barbour Bedale изготовлена из вощеного хлопка средней плотности и полностью совместима с дополнительными термо подкладками и капюшонами, которые можно застегнуть, Bedale является всесезонной одеждой. Куртка сохраняет все классические черты Barbour, включая латунную двустороннюю молнию с кольцевой застежкой, 4 кармана и традиционный вельветовый воротник, имеющий застежки для пристегивания капюшона. Практичный и простой стиль вощеной куртки Barbour Bedale стал классикой, привлекательной для всех поколений.;Barbour Bedale jakken er lavet af voksbehandlet bomuld i medium vægt og er fuldt kompatibel med ekstra termiske foringer og hætter, som kan fastgøres, Bedale er en all-season beklædning.akken bevarer alle Barbour's klassiske træk, herunder en messing dobbeltsidet lynlås med ringlukning, 4 lommer og en traditionel fløjlskrave med fastgørelser til fastgørelse af hætten.Den praktiske og enkle stil af voksbehandlet Barbour Bedale jakke er blevet en klassiker, attraktiv for alle generationer.
Куртка Barbour International;Barbour International jakke
Знаковая куртка Barbour International, была создана в 1936 году и стала любимой курткой для мотогонщиков в 50-е, 60-е и 70-е годы. Сохраняя свое историческое наследие, оригинальная модель Barbour International изготавливается из тяжелого пропитанного воском хлопка Sylkoil, который обеспечивает стильное матовое покрытие и долговечность. Прочная молния спереди находится под застежкой-липучкой для защиты от ветра, а воротник обшит вельветом для утепления. Легкая хлопковая подкладка выполнена в окрас фирменной клетки Barbour и оснащена кнопками для теплой подкладки, что добавляет универсальности.;Den ikoniske Barbour International jakke blev skabt i 1936 og blev en favorit blandt motorcykelkørere i 50'erne, 60'erne og 70'erne. Bevarende sit historiske arv, fremstilles den originale Barbour International model af tung, voksbehandlet Sylkoil bomuld, hvilket giver et stilfuldt mat finish og holdbarhed. Den robuste lynlås foran er dækket af en velcrolukning for vindbeskyttelse, og kragen er foret med fløjl for ekstra varme. Den lette bomuldsforing er udført i Barbour's karakteristiske tern og udstyret med knapper til en varm foring, hvilket tilføjer alsidighed.
Традиционные детали куртки Barbour International включают пряжку на ремешке у горла, регулируемые манжеты на кнопках, жесткий поясной ремень и четыре накладных кармана на кнопках, один из которых является наклонным карманом для карты, разработанным для удобного доступа во время езды.;Traditionelle detaljer på Barbour International jakken inkluderer en spænde på stroppen ved halsen, justerbare manchetter med knapper, et fast bælte og fire lommer med knaplukning, hvoraf den ene er en skrå lomme til kort, designet til nem adgang under kørsel.
Куртка Barbour Chelsea;Barbour Chelsea jakke
Стеганая куртка Barbour Chelsea изготовлена из мягкого на ощупь полиэстера с прокладкой из алмазного стеганого ватина для обеспечения легкости и тепла. Застежка-молния обеспечивает удобство надевания. Два передних кармана предлагают места для хранения вещей, а дополнительный карман на молнии обеспечивает безопасное хранение ценностей.;Den quiltede Barbour Chelsea jakke er fremstillet af blødt polyester med en fyldning af diamantquiltet vat for letvægtsvarme. En lynlås foran sikrer let påklædning. To frontlommer tilbyder opbevaringsmuligheder, mens en ekstra lynlåslomme sikrer sikker opbevaring af værdigenstande.
Вощеная попна Barbour для собак (Barbour Wax Dog);Barbour voks hundepels (Barbour Wax Dog)
Вощеная попна Barbour для собак создана на основе классической вощеной куртки Barbour. Попна Barbour так же является вощеной и водонепроницаемой. Одежда для домашнего питомца представляет собой классический английский стиль, дополненный вельветовым воротником и неизменным логотипом Barbour.;Barbour voks hundepels er baseret på den klassiske Barbour voksede jakke. Barbour hundepels er også vokset og vandtæt. Tøjet til kæledyr repræsenterer klassisk engelsk stil, komplet med fløjlskrave og det ikoniske Barbour logo.
У бренда Barbour есть учетная запись в Instagram, которая демонстрирует собак в одежде Barbour -;Barbour har en Instagram-konto, der viser hunde i Barbour tøj -
Стеганая куртка Barbour Chelsea;Quiltet Barbour Chelsea jakke
Вощеная попна Barbour для собак;Barbour voks hundepels
Публикаций;Publikationer
718 тыс.;718 tusind
Подписчиков;Følgere
Подписок;Følger
© 2023 clothing-encyclopedia.com. Все права защищены.;© 2023 clothing-encyclopedia.com. Alle rettigheder forbeholdes.
Описание английского бренда Barbour. История бренда. Barbour в популярной культуре и технологии производства одежды;Beskrivelse af det engelske mærke Barbour. Brandhistorie. Barbour i populærkultur og tøjproduktionsteknologi
clothing-encyclopedia логотип;clothing-encyclopedia logo
barbour официальный сайт;barbour officiel hjemmeside
Алекс Тёрнер (Arctic Monkeys) в куртке Barbour;Alex Turner (Arctic Monkeys) i en Barbour jakke
Алекс Тёрнер в куртке Barbour;Alex Turner i en Barbour jakke
Steve McQueen. Куртка Barbour International;Steve McQueen. Barbour International jakke
Скайфолл;Skyfall
Экипаж подводной лодки HMS Ursula в одежде Barbour;Besætningen på ubåden HMS Ursula i Barbour tøj
капельную полосу;Dryppestrimmel
Куртка Barbour Bedale;Barbour Bedale jakke
Одежда для собак Barbour Wax;Barbour voks hundetøj
barbour instagram аватар;barbour instagram avatar
Barbour instagram пост от 06.06.2023;Barbour instagram post fra 06.06.2023
Barbour instagram пост от 14.06.2023;Barbour instagram post fra 14.06.2023
Barbour instagram пост от 05.06.2023;Barbour instagram post fra 05.06.2023
Barbour instagram пост от 08.06.2023;Barbour instagram post fra 08.06.2023
Barbour instagram пост от 01.06.2023;Barbour instagram post fra 01.06.2023
Barbour instagram пост от 09.06.2023;Barbour instagram post fra 09.06.2023
Barbour instagram пост от 03.06.2023;Barbour instagram post fra 03.06.2023
